transaction_id,user_id,transaction_date,plan_type,revenue
92,797,2024-08-24,annual,200
93,799,2024-08-21,monthly,20
94,805,2024-05-17,monthly,20
95,806,2024-06-30,monthly,20
96,822,2024-08-24,monthly,20
97,823,2024-02-27,monthly,20
98,831,2024-07-14,monthly,20
99,838,2024-05-06,monthly,20
100,864,2024-05-27,monthly,20
101,869,2024-06-24,monthly,20
102,879,2024-08-20,monthly,20
103,898,2024-07-23,annual,200
104,903,2024-07-23,monthly,20
105,919,2024-08-15,monthly,20
106,928,2024-06-28,monthly,20
107,933,2024-06-17,monthly,20
108,952,2024-03-24,monthly,20
109,955,2024-09-04,monthly,20
110,963,2024-03-15,monthly,20
111,964,2024-02-03,monthly,20
112,966,2024-08-05,monthly,20
113,970,2024-04-13,annual,200
114,1004,2024-09-05,annual,200
115,1007,2024-04-08,annual,200
116,1009,2024-03-25,annual,200
117,1011,2024-06-07,monthly,20
118,1014,2024-05-02,annual,200
119,1038,2024-06-22,monthly,20
120,1047,2024-04-20,annual,200
121,1058,2024-03-02,monthly,20
122,1069,2024-08-15,monthly,20
123,1083,2024-06-06,monthly,20
124,1090,2024-01-20,monthly,20
125,1091,2024-05-23,annual,200
126,1112,2024-03-17,annual,200
127,1113,2024-02-08,monthly,20
128,1127,2024-06-10,annual,200
129,1137,2024-03-10,annual,200
130,1156,2024-08-04,monthly,20
131,1225,2024-03-12,monthly,20
132,1229,2024-05-08,monthly,20
133,1259,2024-01-13,monthly,20
134,1269,2024-07-15,annual,200
135,1278,2024-03-13,annual,200
136,1279,2024-06-06,monthly,20
137,1296,2024-05-19,annual,200
138,1298,2024-03-31,monthly,20
139,1313,2024-03-29,monthly,20
140,1321,2024-05-24,monthly,20
141,1327,2024-02-22,monthly,20
142,1334,2024-05-12,monthly,20
143,1344,2024-03-13,monthly,20
144,1352,2024-08-30,monthly,20
145,1362,2024-03-29,monthly,20
146,1363,2024-06-16,annual,200
147,1365,2024-05-31,monthly,20
148,1397,2024-07-30,monthly,20
149,1449,2024-06-14,monthly,20
150,1461,2024-04-16,monthly,20
151,1475,2024-08-03,annual,200
152,1480,2024-03-05,annual,200
153,1481,2024-06-23,annual,200
154,1483,2024-08-26,monthly,20
155,1488,2024-05-09,annual,200
156,1494,2024-02-12,monthly,20
157,1504,2024-06-02,monthly,20
158,1523,2024-07-03,annual,200
159,1527,2024-07-26,monthly,20
160,1528,2024-07-14,monthly,20
161,1539,2024-05-24,annual,200
162,1593,2024-02-10,monthly,20
163,1595,2024-02-02,monthly,20
164,1601,2024-06-30,monthly,20
165,1602,2024-02-01,monthly,20
166,1606,2024-05-04,annual,200
167,1618,2024-01-09,monthly,20
168,1629,2024-05-04,annual,200
169,1639,2024-03-12,annual,200
170,1644,2024-07-23,monthly,20
171,1650,2024-02-26,annual,200
172,1651,2024-04-16,monthly,20
173,1682,2024-05-19,monthly,20
174,1686,2024-07-08,annual,200
175,1687,2024-03-23,annual,200
176,1692,2024-06-06,monthly,20
177,1696,2024-07-23,monthly,20
178,1703,2024-06-22,monthly,20
179,1741,2024-05-05,monthly,20
180,1743,2024-08-12,monthly,20
181,1761,2024-04-11,monthly,20
182,1791,2024-02-29,monthly,20
183,1799,2024-02-22,monthly,20
184,1827,2024-08-01,monthly,20
185,1831,2024-08-05,monthly,20
186,1839,2024-02-28,annual,200
187,1847,2024-07-07,monthly,20
188,1852,2024-02-08,monthly,20
189,1858,2024-02-02,monthly,20
190,1859,2024-03-27,monthly,20
191,1871,2024-03-24,annual,200
192,1874,2024-05-07,monthly,20
193,1880,2024-04-07,monthly,20
194,1882,2024-05-31,monthly,20
195,1894,2024-06-16,annual,200
196,1906,2024-03-27,monthly,20
197,1908,2024-08-22,monthly,20
198,1940,2024-01-22,monthly,20
199,1941,2024-04-07,annual,200
200,1946,2024-06-15,monthly,20
201,1952,2024-07-17,monthly,20
202,1957,2024-06-13,monthly,20
203,1983,2024-05-28,annual,200
204,1993,2024-06-08,monthly,20
205,2000,2024-08-31,monthly,20
206,2002,2024-03-27,monthly,20
207,2012,2024-08-23,annual,200
208,2038,2024-04-02,annual,200
209,2040,2024-08-15,annual,200
210,2044,2024-01-15,monthly,20
211,2048,2024-01-17,monthly,20
212,2056,2024-05-03,annual,200
213,2060,2024-06-21,monthly,20
214,2069,2024-08-20,monthly,20
215,2072,2024-05-24,monthly,20
216,2074,2024-04-04,monthly,20
217,2089,2024-06-21,monthly,20
218,2093,2024-01-16,monthly,20
219,2096,2024-02-03,monthly,20
220,2102,2024-05-14,monthly,20
221,2110,2024-07-19,monthly,20
222,2125,2024-05-11,monthly,20
223,2135,2024-02-06,monthly,20
224,2142,2024-04-11,monthly,20
225,2143,2024-03-10,annual,200
226,2158,2024-01-10,monthly,20
227,2163,2024-02-14,monthly,20
228,2174,2024-04-27,monthly,20
229,2178,2024-08-26,monthly,20
230,2181,2024-08-01,monthly,20
231,2191,2024-04-11,monthly,20
232,2196,2024-06-23,monthly,20
233,2208,2024-03-05,annual,200
234,2209,2024-03-21,monthly,20
235,2210,2024-08-18,monthly,20
236,2211,2024-02-18,monthly,20
237,2215,2024-06-12,monthly,20
238,2216,2024-04-10,monthly,20
239,2226,2024-04-28,monthly,20
240,2228,2024-01-23,annual,200
241,2229,2024-08-06,monthly,20
242,2230,2024-05-04,monthly,20
243,2238,2024-06-22,monthly,20
244,2256,2024-08-28,monthly,20
245,2261,2024-08-08,monthly,20
246,2271,2024-05-14,monthly,20
247,2274,2024-06-29,monthly,20
248,2296,2024-07-30,monthly,20
249,2308,2024-02-12,monthly,20
250,2310,2024-01-21,monthly,20
251,2311,2024-01-21,monthly,20
252,2319,2024-06-11,annual,200
253,2325,2024-06-26,annual,200
254,2330,2024-07-28,annual,200
255,2338,2024-02-20,monthly,20
256,2365,2024-01-24,monthly,20
257,2374,2024-01-14,monthly,20
258,2382,2024-08-15,monthly,20
259,2390,2024-06-11,annual,200
260,2392,2024-04-07,monthly,20
261,2393,2024-02-28,annual,200
262,2394,2024-03-30,annual,200
263,2400,2024-06-19,annual,200
264,2418,2024-07-08,monthly,20
265,2423,2024-05-13,monthly,20
266,2428,2024-03-07,monthly,20
267,2442,2024-03-27,monthly,20
268,2450,2024-01-13,monthly,20
269,2456,2024-03-07,monthly,20
270,2470,2024-01-22,annual,200
271,2497,2024-03-13,annual,200
272,2503,2024-04-05,annual,200
273,2515,2024-07-19,annual,200
274,2583,2024-05-13,monthly,20
275,2595,2024-02-23,monthly,20
276,2614,2024-01-23,monthly,20
277,2618,2024-03-14,monthly,20
278,2621,2024-08-02,monthly,20
279,2627,2024-08-24,monthly,20
280,2645,2024-02-09,annual,200
281,2646,2024-02-02,monthly,20
282,2652,2024-08-01,monthly,20
283,2654,2024-03-15,monthly,20
284,2659,2024-01-31,annual,200
285,2665,2024-05-11,annual,200
286,2668,2024-02-28,monthly,20
287,2675,2024-06-27,monthly,20
288,2678,2024-06-26,annual,200
289,2682,2024-05-10,annual,200
290,2683,2024-05-08,monthly,20
291,2700,2024-04-12,monthly,20
292,2701,2024-07-12,monthly,20
293,2709,2024-06-20,monthly,20
294,2712,2024-06-09,annual,200
295,2720,2024-03-19,monthly,20
296,2730,2024-03-03,monthly,20
297,2734,2024-04-09,monthly,20
298,2749,2024-06-10,monthly,20
299,2764,2024-08-26,annual,200
300,2773,2024-04-16,annual,200
301,2780,2024-06-16,monthly,20
302,2785,2024-06-23,monthly,20
303,2797,2024-04-02,monthly,20
304,2800,2024-01-26,annual,200
305,2801,2024-01-10,annual,200
306,2818,2024-08-03,monthly,20
307,2826,2024-02-22,monthly,20
308,2851,2024-05-20,monthly,20
309,2855,2024-03-09,monthly,20
310,2862,2024-06-04,annual,200
311,2868,2024-01-10,annual,200
312,2869,2024-06-30,monthly,20
313,2892,2024-07-20,monthly,20
314,2897,2024-07-01,monthly,20
315,2902,2024-05-09,monthly,20
316,2904,2024-05-03,monthly,20
317,2908,2024-08-15,monthly,20
318,2910,2024-05-27,annual,200
319,2921,2024-06-12,monthly,20
320,2926,2024-02-17,monthly,20
321,2964,2024-04-02,monthly,20
322,2975,2024-05-12,monthly,20
323,3001,2024-04-20,monthly,20
324,3026,2024-04-06,annual,200
325,3028,2024-05-25,monthly,20
326,3039,2024-01-17,monthly,20
327,3043,2024-02-09,annual,200
328,3051,2024-04-24,annual,200
329,3058,2024-05-31,annual,200
330,3062,2024-08-03,monthly,20
331,3071,2024-05-10,monthly,20
332,3075,2024-05-04,annual,200
333,3077,2024-05-07,monthly,20
334,3085,2024-08-29,monthly,20
335,3107,2024-07-05,monthly,20
336,3111,2024-07-28,monthly,20
337,3116,2024-06-06,monthly,20
338,3125,2024-02-23,annual,200
339,3126,2024-02-23,monthly,20
340,3152,2024-02-02,monthly,20
341,3158,2024-03-01,annual,200
342,3163,2024-03-18,monthly,20
343,3168,2024-05-18,annual,200
344,3183,2024-03-28,annual,200
345,3192,2024-05-24,monthly,20
346,3198,2024-03-13,monthly,20
347,3204,2024-05-13,monthly,20
348,3212,2024-01-13,annual,200
349,3224,2024-05-29,monthly,20
350,3225,2024-04-11,monthly,20
351,3231,2024-05-02,monthly,20
352,3263,2024-08-06,annual,200
353,3266,2024-05-19,monthly,20
354,3272,2024-08-22,monthly,20
355,3273,2024-03-20,monthly,20
356,3302,2024-01-30,monthly,20
357,3345,2024-03-21,monthly,20
358,3353,2024-06-26,annual,200
359,3357,2024-04-29,annual,200
360,3361,2024-04-06,monthly,20
361,3381,2024-08-06,monthly,20
362,3383,2024-02-01,annual,200
363,3386,2024-07-13,monthly,20
364,3392,2024-03-13,monthly,20
365,3399,2024-04-07,annual,200
366,3433,2024-06-04,monthly,20
367,3439,2024-01-23,monthly,20
368,3448,2024-03-11,annual,200
369,3455,2024-07-31,annual,200
370,3462,2024-05-03,annual,200
371,3492,2024-04-17,monthly,20
372,3497,2024-02-09,monthly,20
373,3500,2024-07-06,annual,200
374,3504,2024-08-01,annual,200
375,3506,2024-03-30,monthly,20
376,3508,2024-07-24,monthly,20
377,3514,2024-07-14,monthly,20
378,3520,2024-06-23,monthly,20
379,3546,2024-09-03,annual,200
380,3568,2024-07-26,monthly,20
381,3577,2024-08-15,monthly,20
382,3596,2024-09-07,monthly,20
383,3611,2024-08-20,monthly,20
384,3633,2024-07-31,monthly,20
385,3649,2024-04-11,monthly,20
386,3652,2024-07-18,annual,200
387,3655,2024-03-20,monthly,20
388,3663,2024-02-20,annual,200
389,3686,2024-01-11,monthly,20
390,3697,2024-06-11,monthly,20
391,3702,2024-03-24,monthly,20
392,3707,2024-03-01,annual,200
393,3713,2024-03-16,annual,200
394,3718,2024-02-23,monthly,20
395,3735,2024-08-15,monthly,20
396,3740,2024-05-06,annual,200
397,3744,2024-08-21,annual,200
398,3750,2024-05-05,monthly,20
399,3751,2024-05-19,annual,200
400,3758,2024-07-26,monthly,20
401,3762,2024-02-17,monthly,20
402,3774,2024-08-20,monthly,20
403,3778,2024-05-24,monthly,20
404,3790,2024-08-28,monthly,20
405,3807,2024-04-29,annual,200
406,3812,2024-07-18,monthly,20
407,3821,2024-03-27,monthly,20
408,3826,2024-03-05,monthly,20
409,3829,2024-07-17,monthly,20
410,3836,2024-04-11,monthly,20
411,3842,2024-03-27,monthly,20
412,3859,2024-04-01,monthly,20
413,3861,2024-06-22,annual,200
414,3900,2024-06-20,monthly,20
415,3905,2024-02-13,monthly,20
416,3915,2024-06-02,monthly,20
417,3920,2024-03-30,monthly,20
418,3922,2024-06-08,annual,200
419,3927,2024-04-11,monthly,20
420,3935,2024-04-16,monthly,20
421,3967,2024-02-05,annual,200
422,3989,2024-02-09,monthly,20
423,3993,2024-04-07,annual,200
424,4003,2024-08-23,monthly,20
425,4022,2024-08-27,monthly,20
426,4025,2024-03-24,monthly,20
427,4027,2024-02-07,monthly,20
428,4038,2024-02-05,monthly,20
429,4047,2024-07-12,monthly,20
430,4048,2024-05-10,monthly,20
431,4062,2024-06-22,annual,200
432,4079,2024-01-06,monthly,20
433,4094,2024-07-28,monthly,20
434,4097,2024-05-17,monthly,20
435,4124,2024-06-23,annual,200
436,4126,2024-01-15,monthly,20
437,4131,2024-07-14,monthly,20
438,4138,2024-07-25,annual,200
439,4149,2024-01-27,monthly,20
440,4153,2024-06-26,monthly,20
441,4154,2024-07-18,monthly,20
442,4184,2024-06-24,monthly,20
443,4194,2024-01-21,monthly,20
444,4228,2024-02-23,annual,200
445,4230,2024-04-17,monthly,20
446,4249,2024-06-13,monthly,20
447,4265,2024-01-15,monthly,20
448,4283,2024-04-20,monthly,20
449,4293,2024-07-11,annual,200
450,4295,2024-03-07,monthly,20
451,4304,2024-04-05,monthly,20
452,4313,2024-05-21,monthly,20
453,4326,2024-07-15,annual,200
454,4333,2024-06-08,monthly,20
455,4338,2024-02-23,monthly,20
456,4339,2024-01-02,monthly,20
457,4347,2024-04-21,monthly,20
458,4358,2024-06-11,annual,200
459,4384,2024-05-03,monthly,20
460,4388,2024-05-27,monthly,20
461,4393,2024-02-06,annual,200
462,4401,2024-06-04,annual,200
463,4420,2024-02-16,annual,200
464,4425,2024-06-26,monthly,20
465,4427,2024-03-09,monthly,20
466,4429,2024-03-04,monthly,20
467,4441,2024-02-13,annual,200
468,4442,2024-02-08,monthly,20
469,4464,2024-04-08,monthly,20
470,4466,2024-03-07,monthly,20
471,4474,2024-04-19,monthly,20
472,4483,2024-01-18,annual,200
473,4496,2024-08-13,monthly,20
474,4505,2024-05-12,monthly,20
475,4509,2024-05-23,monthly,20
476,4531,2024-06-19,monthly,20
477,4534,2024-04-17,monthly,20
478,4539,2024-03-01,monthly,20
479,4550,2024-06-19,monthly,20
480,4556,2024-07-21,monthly,20
481,4573,2024-09-06,monthly,20
482,4631,2024-04-20,monthly,20
483,4632,2024-01-28,annual,200
484,4634,2024-06-27,monthly,20
485,4636,2024-05-22,monthly,20
486,4662,2024-03-24,annual,200
487,4664,2024-07-27,monthly,20
488,4669,2024-07-22,annual,200
489,4674,2024-08-13,monthly,20
490,4681,2024-01-10,monthly,20
491,4692,2024-05-06,annual,200
492,4714,2024-03-24,monthly,20
493,4723,2024-07-17,monthly,20
494,4737,2024-04-27,monthly,20
495,4741,2024-05-24,annual,200
496,4743,2024-03-07,monthly,20
497,4753,2024-05-25,monthly,20
498,4774,2024-03-24,monthly,20
499,4776,2024-03-25,monthly,20
500,4780,2024-08-08,annual,200
501,4783,2024-02-17,annual,200
502,4788,2024-04-22,monthly,20
503,4792,2024-06-12,monthly,20
504,4810,2024-05-30,monthly,20
505,4813,2024-05-17,annual,200
506,4819,2024-08-29,monthly,20
507,4845,2024-02-25,monthly,20
508,4848,2024-06-25,monthly,20
509,4854,2024-03-09,monthly,20
510,4897,2024-03-09,monthly,20
511,4920,2024-08-05,monthly,20
512,4934,2024-05-23,monthly,20
513,4939,2024-09-03,annual,200
514,4940,2024-01-21,monthly,20
515,4941,2024-04-11,monthly,20
516,4954,2024-08-15,annual,200
517,4956,2024-06-04,monthly,20
518,4964,2024-02-24,annual,200
519,4975,2024-08-30,monthly,20
520,4992,2024-04-10,monthly,20
521,5007,2024-09-07,annual,200
522,5022,2024-05-16,annual,200
523,5032,2024-07-03,monthly,20
524,5042,2024-06-11,monthly,20
525,5045,2024-04-29,monthly,20
526,5057,2024-04-19,monthly,20
527,5060,2024-04-11,monthly,20
528,5062,2024-06-12,monthly,20
529,5073,2024-07-25,monthly,20
530,5086,2024-07-09,monthly,20
531,5095,2024-08-28,monthly,20
532,5109,2024-02-28,monthly,20
533,5114,2024-07-18,monthly,20
534,5115,2024-06-20,annual,200
535,5136,2024-07-11,monthly,20
536,5137,2024-03-20,monthly,20
537,5143,2024-01-27,monthly,20
538,5152,2024-05-28,monthly,20
539,5169,2024-03-01,monthly,20
540,5178,2024-07-08,monthly,20
541,5179,2024-01-30,annual,200
542,5182,2024-03-30,annual,200
543,5184,2024-04-15,monthly,20
544,5189,2024-06-27,monthly,20
545,5191,2024-08-26,monthly,20
546,5215,2024-01-15,monthly,20
547,5217,2024-09-03,monthly,20
548,5231,2024-06-29,monthly,20
549,5244,2024-04-12,monthly,20
550,5267,2024-01-15,monthly,20
551,5272,2024-04-24,monthly,20
552,5283,2024-04-12,monthly,20
553,5288,2024-06-18,monthly,20
554,5290,2024-02-10,annual,200
555,5292,2024-08-27,monthly,20
556,5303,2024-07-06,monthly,20
557,5307,2024-06-17,annual,200
558,5312,2024-06-05,monthly,20
559,5326,2024-08-17,monthly,20
560,5337,2024-01-23,monthly,20
561,5346,2024-03-17,monthly,20
562,5363,2024-07-20,monthly,20
563,5392,2024-02-06,monthly,20
564,5400,2024-02-26,monthly,20
565,5404,2024-04-25,monthly,20
566,5411,2024-01-19,monthly,20
567,5414,2024-05-26,monthly,20
568,5420,2024-07-23,annual,200
569,5421,2024-07-12,monthly,20
570,5440,2024-07-19,monthly,20
571,5454,2024-04-11,monthly,20
572,5460,2024-04-10,annual,200
573,5464,2024-04-02,annual,200
574,5492,2024-08-10,monthly,20
575,5493,2024-03-03,annual,200
576,5514,2024-05-05,monthly,20
577,5518,2024-04-19,monthly,20
578,5529,2024-07-31,annual,200
579,5542,2024-03-12,monthly,20
580,5546,2024-08-15,annual,200
581,5564,2024-03-23,monthly,20
582,5588,2024-03-12,monthly,20
583,5598,2024-07-18,monthly,20
584,5601,2024-05-16,monthly,20
585,5625,2024-09-02,monthly,20
586,5663,2024-05-07,monthly,20
587,5664,2024-08-27,annual,200
588,5694,2024-03-03,annual,200
589,5698,2024-06-23,annual,200
590,5703,2024-03-06,monthly,20
591,5711,2024-08-07,monthly,20
592,5725,2024-05-20,monthly,20
593,5734,2024-08-11,monthly,20
594,5757,2024-01-14,monthly,20
595,5767,2024-01-05,monthly,20
596,5768,2024-06-17,monthly,20
597,5777,2024-03-15,monthly,20
598,5783,2024-02-05,monthly,20
599,5788,2024-09-01,monthly,20
600,5801,2024-06-13,monthly,20
601,5804,2024-02-20,annual,200
602,5810,2024-06-15,monthly,20
603,5813,2024-05-03,monthly,20
604,5814,2024-02-04,monthly,20
605,5823,2024-01-23,monthly,20
606,5828,2024-06-07,monthly,20
607,5842,2024-05-05,annual,200
608,5848,2024-03-20,monthly,20
609,5856,2024-08-08,monthly,20
610,5872,2024-02-07,annual,200
611,5877,2024-07-08,annual,200
612,5888,2024-08-26,annual,200
613,5889,2024-07-31,monthly,20
614,5895,2024-04-24,monthly,20
615,5899,2024-07-18,monthly,20
616,5906,2024-01-22,monthly,20
617,5917,2024-02-26,monthly,20
618,5938,2024-05-19,monthly,20
619,5943,2024-05-15,annual,200
620,5950,2024-05-31,monthly,20
621,5958,2024-04-02,annual,200
622,5978,2024-06-07,annual,200
623,5982,2024-02-19,monthly,20
624,5995,2024-04-25,annual,200
625,6010,2024-03-24,annual,200
626,6019,2024-02-04,annual,200
627,6020,2024-09-10,annual,200
628,6038,2024-01-19,monthly,20
629,6045,2024-08-23,annual,200
630,6070,2024-04-21,annual,200
631,6077,2024-07-26,annual,200
632,6086,2024-06-09,monthly,20
633,6091,2024-08-30,monthly,20
634,6101,2024-02-06,monthly,20
635,6108,2024-07-15,monthly,20
636,6111,2024-03-07,monthly,20
637,6124,2024-06-16,monthly,20
638,6141,2024-05-16,annual,200
639,6174,2024-08-19,monthly,20
640,6175,2024-05-01,monthly,20
641,6180,2024-03-17,monthly,20
642,6188,2024-08-22,annual,200
643,6190,2024-03-25,monthly,20
644,6191,2024-03-24,monthly,20
645,6202,2024-05-07,monthly,20
646,6206,2024-05-04,monthly,20
647,6210,2024-09-07,annual,200
648,6213,2024-03-08,monthly,20
649,6224,2024-05-16,monthly,20
650,6250,2024-06-10,monthly,20
651,6267,2024-02-01,monthly,20
652,6270,2024-02-04,annual,200
653,6277,2024-07-17,monthly,20
654,6280,2024-08-18,annual,200
655,6281,2024-08-05,annual,200
656,6282,2024-05-18,annual,200
657,6304,2024-06-23,monthly,20
658,6313,2024-06-14,monthly,20
659,6318,2024-04-29,annual,200
660,6319,2024-05-17,monthly,20
661,6338,2024-06-02,annual,200
662,6339,2024-01-09,monthly,20
663,6358,2024-04-25,monthly,20
664,6365,2024-08-21,monthly,20
665,6392,2024-01-22,monthly,20
666,6393,2024-05-07,annual,200
667,6396,2024-07-20,monthly,20
668,6417,2024-04-18,monthly,20
669,6420,2024-08-02,monthly,20
670,6422,2024-05-11,annual,200
671,6425,2024-01-27,annual,200
672,6426,2024-03-25,monthly,20
673,6427,2024-03-07,monthly,20
674,6429,2024-05-17,monthly,20
675,6431,2024-07-05,monthly,20
676,6438,2024-03-06,annual,200
677,6441,2024-06-02,monthly,20
678,6452,2024-05-30,annual,200
679,6472,2024-08-08,monthly,20
680,6477,2024-04-13,annual,200
681,6489,2024-01-17,monthly,20
682,6504,2024-05-03,annual,200
683,6506,2024-05-17,annual,200
684,6515,2024-06-26,annual,200
685,6519,2024-04-08,monthly,20
686,6525,2024-07-07,annual,200
687,6529,2024-07-05,monthly,20
688,6538,2024-01-28,annual,200
689,6539,2024-02-15,annual,200
690,6540,2024-02-20,monthly,20
691,6543,2024-07-28,monthly,20
692,6556,2024-09-08,monthly,20
693,6560,2024-07-16,monthly,20
694,6563,2024-03-16,annual,200
695,6579,2024-04-30,monthly,20
696,6581,2024-05-08,monthly,20
697,6587,2024-01-19,monthly,20
698,6589,2024-02-21,monthly,20
699,6612,2024-02-24,monthly,20
700,6613,2024-05-21,monthly,20
701,6616,2024-02-11,monthly,20
702,6618,2024-03-05,monthly,20
703,6628,2024-03-14,annual,200
704,6643,2024-03-25,annual,200
705,6644,2024-07-18,monthly,20
706,6647,2024-04-05,monthly,20
707,6653,2024-02-20,annual,200
708,6655,2024-01-30,monthly,20
709,6662,2024-08-29,monthly,20
710,6674,2024-05-25,monthly,20
711,6682,2024-07-01,monthly,20
712,6694,2024-05-26,monthly,20
713,6699,2024-03-20,monthly,20
714,6701,2024-01-22,monthly,20
715,6726,2024-02-27,monthly,20
716,6748,2024-02-11,monthly,20
717,6763,2024-08-20,annual,200
718,6767,2024-06-21,annual,200
719,6786,2024-03-10,monthly,20
720,6801,2024-04-30,monthly,20
721,6807,2024-06-28,annual,200
722,6817,2024-05-06,monthly,20
723,6818,2024-02-02,annual,200
724,6836,2024-05-30,annual,200
725,6861,2024-08-30,annual,200
726,6874,2024-03-04,monthly,20
727,6875,2024-09-02,annual,200
728,6883,2024-08-14,monthly,20
729,6899,2024-04-27,monthly,20
730,6901,2024-04-07,annual,200
731,6913,2024-07-15,monthly,20
732,6915,2024-06-22,annual,200
733,6929,2024-07-14,monthly,20
734,6935,2024-02-06,monthly,20
735,6961,2024-09-11,monthly,20
736,6968,2024-02-05,annual,200
737,6971,2024-08-02,monthly,20
738,7016,2024-01-21,monthly,20
739,7018,2024-08-11,monthly,20
740,7049,2024-07-16,annual,200
741,7050,2024-08-15,annual,200
742,7053,2024-05-26,annual,200
743,7059,2024-01-26,monthly,20
744,7062,2024-05-16,monthly,20
745,7063,2024-05-30,monthly,20
746,7069,2024-02-21,monthly,20
747,7087,2024-08-02,monthly,20
748,7097,2024-07-20,monthly,20
749,7112,2024-08-19,monthly,20
750,7131,2024-07-07,monthly,20
751,7139,2024-03-27,monthly,20
752,7153,2024-03-29,annual,200
753,7154,2024-08-10,monthly,20
754,7155,2024-01-30,annual,200
755,7159,2024-07-27,annual,200
756,7163,2024-01-28,monthly,20
757,7165,2024-04-12,monthly,20
758,7168,2024-06-16,annual,200
759,7173,2024-01-17,monthly,20
760,7177,2024-09-02,monthly,20
761,7178,2024-03-17,monthly,20
762,7185,2024-06-15,monthly,20
763,7199,2024-02-04,monthly,20
764,7205,2024-05-18,monthly,20
765,7209,2024-01-18,annual,200
766,7210,2024-05-18,monthly,20
767,7212,2024-02-22,monthly,20
768,7214,2024-05-26,annual,200
769,7215,2024-01-26,annual,200
770,7234,2024-05-11,monthly,20
771,7237,2024-04-30,monthly,20
772,7242,2024-07-02,annual,200
773,7251,2024-08-31,monthly,20
774,7263,2024-04-11,annual,200
775,7265,2024-07-15,monthly,20
776,7273,2024-08-03,monthly,20
777,7275,2024-02-20,annual,200
778,7284,2024-03-07,monthly,20
779,7310,2024-04-06,monthly,20
780,7319,2024-04-15,monthly,20
781,7322,2024-07-25,annual,200
782,7339,2024-02-25,monthly,20
783,7342,2024-06-27,monthly,20
784,7362,2024-05-11,monthly,20
785,7365,2024-02-09,monthly,20
786,7375,2024-02-02,monthly,20
787,7376,2024-06-08,monthly,20
788,7385,2024-08-28,annual,200
789,7402,2024-05-31,annual,200
790,7413,2024-02-20,monthly,20
791,7418,2024-01-28,monthly,20
792,7420,2024-07-11,monthly,20
793,7431,2024-03-29,annual,200
