user_id,signup_date,acquisition_channel,country,device_type,user_segment,experiment_group,activated,purchased
68,2024-02-22,paid,US,desktop,power,control,True,False
69,2024-05-09,referral,US,desktop,price_sensitive,control,True,True
70,2024-03-24,referral,India,desktop,power,treatment,False,False
71,2024-04-01,organic,UK,desktop,price_sensitive,control,False,False
72,2024-04-20,organic,US,mobile,casual,control,False,False
73,2024-07-06,referral,US,mobile,price_sensitive,control,True,False
74,2024-07-17,paid,US,mobile,price_sensitive,treatment,False,False
75,2024-06-20,paid,US,mobile,casual,treatment,False,False
76,2024-01-08,paid,US,mobile,price_sensitive,control,False,False
77,2024-06-23,paid,US,mobile,power,treatment,True,True
78,2024-02-04,referral,US,desktop,price_sensitive,treatment,True,False
79,2024-07-24,paid,US,desktop,casual,control,False,False
80,2024-03-21,paid,India,mobile,power,control,False,False
81,2024-06-12,paid,US,mobile,price_sensitive,control,False,False
82,2024-02-19,referral,US,desktop,power,treatment,False,False
83,2024-04-13,paid,UK,desktop,casual,control,False,False
84,2024-05-11,paid,India,mobile,power,treatment,True,False
85,2024-01-02,referral,US,desktop,price_sensitive,control,False,False
86,2024-05-13,paid,US,mobile,casual,treatment,False,False
87,2024-02-23,organic,US,mobile,power,control,True,False
88,2024-04-15,paid,UK,mobile,price_sensitive,treatment,False,False
89,2024-01-04,paid,UK,mobile,power,control,False,False
90,2024-02-23,organic,US,mobile,casual,treatment,False,False
91,2024-08-08,paid,US,mobile,casual,control,False,False
92,2024-07-09,paid,UK,mobile,casual,treatment,False,False
93,2024-05-25,paid,US,mobile,price_sensitive,control,False,False
94,2024-08-05,paid,US,mobile,power,control,True,False
95,2024-02-13,paid,US,desktop,power,control,True,False
96,2024-06-10,referral,India,desktop,price_sensitive,treatment,False,False
97,2024-07-20,organic,US,mobile,price_sensitive,treatment,True,False
98,2024-07-08,organic,US,mobile,price_sensitive,treatment,False,False
99,2024-08-15,paid,India,mobile,power,control,False,False
100,2024-01-14,paid,India,mobile,price_sensitive,control,False,False
101,2024-04-04,organic,UK,desktop,price_sensitive,control,True,False
102,2024-02-17,organic,US,desktop,price_sensitive,control,False,False
103,2024-01-15,paid,UK,desktop,power,control,False,False
104,2024-07-18,organic,US,desktop,price_sensitive,control,False,False
105,2024-07-24,paid,US,mobile,casual,treatment,True,True
106,2024-08-02,paid,US,mobile,casual,control,False,False
107,2024-07-08,paid,India,desktop,price_sensitive,treatment,True,True
108,2024-02-09,organic,UK,mobile,power,treatment,False,False
109,2024-07-31,paid,US,desktop,power,treatment,True,True
110,2024-07-26,paid,UK,desktop,price_sensitive,control,False,False
111,2024-08-24,referral,India,mobile,price_sensitive,treatment,False,False
112,2024-03-22,referral,US,desktop,power,treatment,True,False
113,2024-04-20,organic,US,mobile,power,treatment,False,False
114,2024-02-22,organic,US,mobile,power,control,False,False
115,2024-01-24,organic,India,desktop,price_sensitive,control,False,False
116,2024-06-02,organic,India,mobile,power,control,False,False
117,2024-08-04,paid,US,mobile,casual,treatment,False,False
118,2024-07-06,paid,US,mobile,price_sensitive,control,True,False
119,2024-05-03,organic,US,desktop,power,treatment,True,False
120,2024-08-24,paid,India,desktop,casual,treatment,True,True
121,2024-02-10,referral,US,desktop,casual,treatment,False,False
122,2024-06-05,paid,UK,mobile,price_sensitive,treatment,True,False
123,2024-01-15,organic,US,desktop,price_sensitive,control,True,False
124,2024-02-14,paid,India,desktop,price_sensitive,control,False,False
125,2024-03-05,paid,US,mobile,casual,treatment,False,False
126,2024-03-29,referral,US,desktop,price_sensitive,control,False,False
127,2024-03-11,organic,US,desktop,price_sensitive,treatment,False,False
128,2024-01-09,paid,India,mobile,price_sensitive,treatment,True,False
129,2024-03-28,paid,US,desktop,casual,control,False,False
130,2024-05-08,paid,US,mobile,casual,treatment,True,False
131,2024-08-23,paid,US,mobile,power,treatment,True,True
132,2024-05-15,organic,US,mobile,casual,control,False,False
133,2024-08-03,paid,UK,mobile,power,treatment,True,False
134,2024-03-03,organic,US,desktop,power,control,False,False
135,2024-05-18,organic,UK,desktop,price_sensitive,control,False,False
136,2024-03-21,paid,India,mobile,casual,treatment,True,False
137,2024-05-15,organic,UK,desktop,casual,treatment,False,False
138,2024-06-11,organic,US,desktop,price_sensitive,treatment,True,False
139,2024-06-11,paid,US,mobile,price_sensitive,treatment,False,False
140,2024-02-02,paid,US,mobile,price_sensitive,control,False,False
141,2024-05-02,organic,India,mobile,price_sensitive,control,False,False
142,2024-01-05,paid,UK,desktop,price_sensitive,treatment,True,True
143,2024-08-21,organic,US,desktop,price_sensitive,treatment,True,False
144,2024-08-18,organic,India,mobile,price_sensitive,treatment,True,False
145,2024-02-10,paid,India,mobile,casual,control,False,False
146,2024-01-28,organic,India,desktop,power,control,True,True
147,2024-05-14,referral,US,mobile,price_sensitive,control,True,True
148,2024-07-19,organic,US,mobile,power,treatment,False,False
149,2024-03-12,paid,US,mobile,price_sensitive,treatment,True,False
150,2024-01-12,referral,US,desktop,price_sensitive,control,True,False
151,2024-06-10,referral,US,desktop,price_sensitive,control,False,False
152,2024-02-02,paid,US,desktop,casual,control,False,False
153,2024-02-17,referral,US,mobile,casual,treatment,True,False
154,2024-05-30,referral,India,mobile,casual,treatment,False,False
155,2024-03-02,organic,UK,desktop,power,control,False,False
156,2024-08-03,paid,UK,desktop,casual,control,False,False
157,2024-02-06,organic,US,desktop,price_sensitive,treatment,False,False
158,2024-04-08,paid,US,mobile,casual,treatment,True,True
159,2024-06-20,paid,UK,mobile,power,control,False,False
160,2024-04-13,organic,US,desktop,power,control,True,True
161,2024-08-01,paid,UK,mobile,price_sensitive,control,False,False
162,2024-08-06,organic,India,desktop,power,treatment,False,False
163,2024-02-04,referral,UK,desktop,price_sensitive,treatment,False,False
164,2024-07-11,organic,US,mobile,power,treatment,False,False
165,2024-08-14,paid,India,desktop,price_sensitive,treatment,True,False
166,2024-04-10,organic,India,mobile,casual,treatment,False,False
167,2024-06-23,organic,US,desktop,casual,control,True,False
168,2024-07-24,paid,India,desktop,price_sensitive,treatment,True,True
169,2024-05-10,organic,US,mobile,price_sensitive,treatment,False,False
170,2024-01-01,paid,US,desktop,price_sensitive,treatment,False,False
171,2024-01-05,referral,UK,mobile,power,control,True,False
172,2024-08-05,organic,India,mobile,power,treatment,False,False
173,2024-05-21,referral,US,mobile,casual,control,True,False
174,2024-04-12,organic,US,mobile,power,treatment,False,False
175,2024-01-27,organic,US,mobile,power,control,True,False
176,2024-05-16,organic,US,mobile,power,treatment,False,False
177,2024-07-25,referral,US,desktop,power,treatment,True,False
178,2024-01-15,organic,India,mobile,price_sensitive,control,False,False
179,2024-03-30,referral,India,mobile,power,control,True,False
180,2024-02-11,referral,US,mobile,casual,control,False,False
181,2024-05-03,organic,US,desktop,casual,treatment,True,False
182,2024-07-23,paid,US,desktop,power,treatment,True,False
183,2024-06-27,paid,US,mobile,power,control,True,True
184,2024-03-03,organic,India,desktop,price_sensitive,control,False,False
185,2024-04-05,organic,UK,mobile,price_sensitive,control,False,False
186,2024-08-18,paid,UK,mobile,price_sensitive,treatment,True,False
187,2024-02-21,paid,US,mobile,casual,treatment,True,False
188,2024-04-05,paid,US,mobile,casual,control,True,False
189,2024-05-11,organic,India,mobile,price_sensitive,control,False,False
190,2024-08-09,organic,US,desktop,casual,control,False,False
191,2024-08-16,referral,US,mobile,power,treatment,False,False
192,2024-05-30,organic,India,mobile,price_sensitive,treatment,False,False
193,2024-08-18,paid,India,mobile,price_sensitive,treatment,False,False
194,2024-08-24,organic,US,mobile,casual,treatment,False,False
195,2024-05-22,referral,US,mobile,price_sensitive,treatment,False,False
196,2024-06-19,referral,UK,desktop,power,control,False,False
197,2024-01-29,organic,India,mobile,casual,control,True,True
198,2024-02-05,organic,UK,desktop,casual,treatment,True,True
199,2024-01-13,paid,UK,mobile,price_sensitive,control,True,False
200,2024-06-08,organic,UK,mobile,price_sensitive,control,False,False
201,2024-03-11,paid,UK,mobile,power,treatment,False,False
202,2024-07-05,paid,India,mobile,price_sensitive,control,True,False
203,2024-03-26,organic,US,mobile,price_sensitive,treatment,True,True
204,2024-01-28,organic,US,mobile,price_sensitive,treatment,False,False
205,2024-03-06,paid,US,mobile,price_sensitive,control,False,False
206,2024-06-18,paid,US,mobile,casual,control,True,False
207,2024-02-14,organic,US,mobile,price_sensitive,treatment,False,False
208,2024-03-02,paid,UK,mobile,price_sensitive,treatment,False,False
209,2024-07-03,paid,US,desktop,price_sensitive,control,False,False
210,2024-05-13,paid,India,desktop,power,treatment,True,True
211,2024-01-28,organic,UK,mobile,power,treatment,True,False
212,2024-01-28,organic,US,desktop,power,treatment,False,False
213,2024-04-17,referral,US,mobile,casual,control,True,False
214,2024-02-13,referral,UK,desktop,power,treatment,False,False
215,2024-03-24,paid,US,mobile,price_sensitive,treatment,False,False
216,2024-01-30,organic,US,mobile,power,treatment,False,False
217,2024-07-08,paid,US,desktop,casual,control,True,True
218,2024-03-15,referral,US,mobile,price_sensitive,treatment,False,False
219,2024-05-07,organic,India,mobile,price_sensitive,treatment,True,True
220,2024-04-01,organic,India,mobile,price_sensitive,treatment,False,False
221,2024-08-04,paid,US,mobile,price_sensitive,control,False,False
222,2024-08-18,referral,India,desktop,price_sensitive,treatment,True,True
223,2024-07-08,organic,US,desktop,price_sensitive,control,False,False
224,2024-08-12,paid,US,desktop,casual,control,False,False
225,2024-05-08,paid,India,mobile,casual,treatment,True,False
226,2024-04-30,paid,India,desktop,price_sensitive,control,True,False
227,2024-01-27,paid,US,desktop,price_sensitive,treatment,True,False
228,2024-07-08,paid,India,desktop,price_sensitive,control,False,False
229,2024-04-30,organic,UK,mobile,power,control,False,False
230,2024-04-25,organic,UK,mobile,power,treatment,False,False
231,2024-07-23,paid,India,mobile,casual,control,False,False
232,2024-08-20,organic,US,mobile,casual,control,False,False
233,2024-01-03,paid,India,desktop,price_sensitive,treatment,False,False
234,2024-04-12,paid,US,mobile,casual,control,False,False
235,2024-07-16,organic,US,desktop,price_sensitive,treatment,True,False
236,2024-07-18,paid,UK,mobile,price_sensitive,treatment,False,False
237,2024-06-03,paid,UK,mobile,casual,control,False,False
238,2024-05-16,organic,US,mobile,power,control,False,False
239,2024-03-02,paid,US,desktop,power,control,False,False
240,2024-06-13,referral,India,desktop,price_sensitive,control,True,True
241,2024-08-12,paid,UK,mobile,power,control,False,False
242,2024-02-20,paid,India,mobile,price_sensitive,control,False,False
243,2024-08-21,organic,UK,mobile,power,treatment,False,False
244,2024-06-20,organic,UK,desktop,price_sensitive,treatment,True,True
245,2024-05-31,organic,India,mobile,price_sensitive,control,False,False
246,2024-07-25,paid,India,mobile,power,treatment,False,False
247,2024-02-28,organic,India,desktop,power,control,False,False
248,2024-04-27,organic,India,desktop,power,control,True,False
249,2024-06-08,paid,India,desktop,price_sensitive,control,False,False
250,2024-04-05,organic,India,mobile,price_sensitive,control,True,False
251,2024-08-03,organic,India,desktop,price_sensitive,control,True,False
252,2024-08-20,paid,India,mobile,price_sensitive,control,True,False
253,2024-06-28,organic,India,desktop,power,treatment,True,False
254,2024-04-22,paid,US,mobile,price_sensitive,treatment,False,False
255,2024-03-02,organic,India,mobile,casual,treatment,False,False
256,2024-07-04,organic,US,mobile,power,treatment,False,False
257,2024-02-21,referral,US,desktop,power,control,False,False
258,2024-01-12,referral,UK,desktop,casual,control,True,True
259,2024-02-08,referral,US,desktop,power,control,False,False
260,2024-05-09,referral,India,mobile,price_sensitive,control,True,False
261,2024-05-10,paid,India,desktop,power,control,True,True
262,2024-04-22,paid,India,mobile,price_sensitive,treatment,False,False
263,2024-04-10,paid,US,mobile,casual,treatment,False,False
264,2024-04-22,paid,US,mobile,power,treatment,True,True
265,2024-07-02,paid,US,mobile,power,treatment,False,False
266,2024-03-21,organic,US,mobile,power,treatment,True,False
267,2024-07-05,referral,US,desktop,price_sensitive,control,False,False
268,2024-04-22,paid,India,mobile,price_sensitive,treatment,True,False
269,2024-01-02,referral,US,desktop,price_sensitive,treatment,False,False
270,2024-05-09,organic,UK,desktop,casual,control,True,False
271,2024-08-07,organic,India,mobile,power,control,True,False
272,2024-02-23,organic,India,mobile,casual,treatment,False,False
273,2024-03-27,paid,India,mobile,casual,treatment,True,False
274,2024-08-16,organic,US,mobile,price_sensitive,treatment,False,False
275,2024-08-11,organic,US,mobile,price_sensitive,treatment,False,False
276,2024-08-12,organic,UK,mobile,price_sensitive,treatment,True,False
277,2024-05-08,organic,India,mobile,power,control,False,False
278,2024-05-26,paid,India,desktop,price_sensitive,treatment,True,False
279,2024-05-05,referral,UK,desktop,casual,treatment,False,False
280,2024-05-09,organic,India,mobile,power,treatment,False,False
281,2024-02-22,paid,US,mobile,power,treatment,True,True
282,2024-06-20,organic,US,mobile,price_sensitive,control,False,False
283,2024-08-05,organic,US,desktop,power,treatment,False,False
284,2024-06-08,paid,UK,desktop,power,control,False,False
285,2024-07-16,paid,US,desktop,casual,treatment,False,False
286,2024-06-08,referral,US,mobile,power,treatment,True,True
287,2024-03-08,paid,UK,mobile,price_sensitive,control,True,False
288,2024-07-01,referral,US,desktop,power,control,True,True
289,2024-07-21,organic,US,desktop,price_sensitive,treatment,True,False
290,2024-07-02,organic,UK,mobile,price_sensitive,treatment,True,True
291,2024-05-02,organic,India,mobile,casual,treatment,False,False
292,2024-05-24,paid,India,mobile,price_sensitive,treatment,False,False
293,2024-02-07,organic,US,desktop,power,treatment,True,False
294,2024-01-24,organic,India,mobile,power,treatment,True,True
295,2024-03-09,paid,UK,mobile,casual,control,False,False
296,2024-04-25,organic,India,mobile,casual,treatment,True,False
297,2024-04-07,organic,India,mobile,power,control,True,True
298,2024-07-16,organic,US,mobile,price_sensitive,treatment,False,False
299,2024-08-01,organic,UK,desktop,power,treatment,True,False
300,2024-05-18,paid,India,mobile,power,treatment,False,False
301,2024-08-27,paid,UK,mobile,casual,treatment,False,False
302,2024-05-23,organic,US,mobile,power,control,True,True
303,2024-04-06,organic,India,mobile,price_sensitive,treatment,False,False
304,2024-07-19,referral,UK,desktop,power,control,False,False
305,2024-05-03,paid,US,desktop,price_sensitive,treatment,False,False
306,2024-07-05,paid,UK,desktop,power,treatment,True,False
307,2024-03-10,paid,US,desktop,price_sensitive,control,False,False
308,2024-07-26,organic,US,mobile,casual,control,True,False
309,2024-04-02,referral,UK,desktop,price_sensitive,treatment,False,False
310,2024-01-03,paid,US,mobile,price_sensitive,treatment,False,False
311,2024-05-27,organic,India,desktop,casual,control,True,True
312,2024-07-05,paid,US,desktop,price_sensitive,control,True,False
313,2024-06-12,organic,India,mobile,power,control,False,False
314,2024-05-26,organic,India,mobile,power,treatment,True,True
315,2024-03-30,referral,US,mobile,price_sensitive,treatment,True,True
316,2024-07-13,referral,US,mobile,price_sensitive,treatment,False,False
317,2024-05-26,organic,UK,mobile,price_sensitive,control,False,False
318,2024-05-27,organic,UK,mobile,power,control,False,False
319,2024-04-05,paid,UK,desktop,price_sensitive,control,False,False
320,2024-07-17,organic,US,desktop,price_sensitive,treatment,False,False
321,2024-02-21,paid,India,mobile,price_sensitive,control,False,False
322,2024-08-20,paid,UK,mobile,casual,treatment,True,False
323,2024-06-09,paid,US,mobile,power,treatment,False,False
324,2024-06-16,paid,UK,mobile,price_sensitive,control,True,True
325,2024-05-07,paid,US,mobile,price_sensitive,treatment,False,False
326,2024-02-08,referral,India,mobile,power,control,False,False
327,2024-03-22,organic,US,desktop,price_sensitive,treatment,True,False
328,2024-04-13,referral,India,mobile,power,control,True,False
329,2024-05-08,organic,US,mobile,casual,control,False,False
330,2024-01-11,organic,US,mobile,power,control,False,False
331,2024-08-07,organic,US,mobile,price_sensitive,treatment,False,False
332,2024-07-03,paid,US,mobile,power,control,True,False
333,2024-08-04,organic,US,mobile,casual,treatment,True,True
334,2024-06-26,referral,US,desktop,casual,control,True,False
335,2024-05-30,paid,UK,desktop,casual,control,True,False
336,2024-06-07,organic,US,desktop,price_sensitive,control,False,False
337,2024-08-09,paid,UK,mobile,casual,treatment,False,False
338,2024-02-11,referral,US,desktop,price_sensitive,treatment,False,False
339,2024-04-08,paid,US,desktop,price_sensitive,treatment,False,False
340,2024-01-07,organic,US,mobile,price_sensitive,treatment,False,False
341,2024-05-23,referral,UK,desktop,price_sensitive,control,False,False
342,2024-03-30,paid,UK,mobile,price_sensitive,control,False,False
343,2024-04-21,organic,US,mobile,casual,treatment,False,False
344,2024-02-29,organic,US,desktop,casual,control,True,False
345,2024-04-22,paid,India,mobile,price_sensitive,treatment,True,False
346,2024-01-02,referral,US,mobile,power,treatment,False,False
347,2024-05-08,organic,UK,mobile,price_sensitive,treatment,False,False
348,2024-02-17,organic,India,desktop,power,control,False,False
349,2024-05-19,referral,UK,mobile,price_sensitive,treatment,False,False
350,2024-07-15,organic,US,mobile,power,control,True,True
351,2024-02-06,referral,US,mobile,price_sensitive,treatment,False,False
352,2024-06-08,organic,UK,mobile,power,control,False,False
353,2024-01-09,paid,US,mobile,casual,control,True,True
354,2024-08-20,organic,US,mobile,price_sensitive,treatment,False,False
355,2024-04-08,referral,India,desktop,price_sensitive,treatment,False,False
356,2024-05-26,paid,US,desktop,price_sensitive,treatment,False,False
357,2024-02-17,referral,UK,mobile,price_sensitive,treatment,False,False
358,2024-07-26,paid,UK,desktop,price_sensitive,treatment,False,False
359,2024-05-10,organic,US,desktop,price_sensitive,control,False,False
360,2024-05-27,organic,US,mobile,power,treatment,True,True
361,2024-05-31,paid,US,desktop,price_sensitive,treatment,True,False
362,2024-02-23,paid,US,mobile,power,treatment,False,False
363,2024-04-29,referral,US,desktop,power,treatment,True,True
364,2024-06-09,organic,US,desktop,price_sensitive,treatment,False,False
365,2024-05-31,paid,US,mobile,casual,control,True,False
366,2024-04-25,referral,India,mobile,power,control,True,False
367,2024-03-15,organic,India,mobile,power,treatment,False,False
368,2024-04-22,referral,UK,mobile,casual,treatment,True,False
369,2024-07-18,paid,US,mobile,price_sensitive,control,False,False
370,2024-06-12,paid,India,mobile,casual,control,False,False
371,2024-06-14,organic,India,desktop,power,control,True,False
372,2024-04-13,organic,US,mobile,power,control,True,False
373,2024-03-24,organic,India,desktop,casual,treatment,False,False
374,2024-08-14,referral,US,mobile,price_sensitive,control,False,False
375,2024-04-21,referral,US,mobile,power,treatment,True,True
376,2024-08-04,organic,US,mobile,price_sensitive,treatment,False,False
377,2024-04-08,referral,US,mobile,price_sensitive,treatment,False,False
378,2024-06-01,paid,US,mobile,price_sensitive,control,False,False
379,2024-04-02,referral,US,desktop,casual,treatment,False,False
380,2024-05-25,organic,US,desktop,power,control,False,False
381,2024-05-07,organic,US,desktop,casual,control,True,True
382,2024-04-19,paid,US,desktop,casual,control,False,False
383,2024-03-22,organic,US,mobile,price_sensitive,treatment,True,False
384,2024-07-12,paid,India,desktop,price_sensitive,control,True,False
385,2024-02-23,paid,US,desktop,casual,control,False,False
386,2024-06-11,organic,UK,mobile,price_sensitive,treatment,False,False
387,2024-07-26,organic,US,mobile,price_sensitive,treatment,True,True
388,2024-07-07,referral,US,mobile,power,control,False,False
389,2024-06-17,organic,US,mobile,power,treatment,False,False
390,2024-08-15,organic,India,mobile,casual,control,False,False
391,2024-06-09,paid,India,desktop,price_sensitive,treatment,False,False
392,2024-03-08,paid,UK,mobile,casual,treatment,True,True
393,2024-02-02,paid,US,desktop,price_sensitive,treatment,False,False
394,2024-05-21,paid,US,desktop,casual,treatment,False,False
395,2024-01-21,organic,UK,mobile,casual,treatment,False,False
396,2024-02-17,organic,India,desktop,casual,control,False,False
397,2024-05-27,paid,US,desktop,price_sensitive,control,True,False
398,2024-05-07,referral,UK,desktop,power,treatment,True,False
399,2024-05-15,paid,India,desktop,price_sensitive,treatment,True,False
400,2024-05-14,organic,US,mobile,casual,treatment,True,False
401,2024-07-13,organic,US,mobile,casual,control,False,False
402,2024-05-24,organic,US,mobile,price_sensitive,control,False,False
403,2024-05-07,paid,India,desktop,power,treatment,True,True
404,2024-02-02,organic,US,mobile,price_sensitive,treatment,False,False
405,2024-06-24,organic,US,desktop,casual,treatment,True,False
406,2024-07-22,paid,US,mobile,price_sensitive,control,False,False
407,2024-07-05,paid,UK,mobile,power,treatment,True,False
408,2024-04-24,paid,US,desktop,power,treatment,False,False
409,2024-08-01,paid,India,mobile,price_sensitive,control,False,False
410,2024-04-28,paid,India,mobile,price_sensitive,treatment,True,True
411,2024-01-22,organic,India,mobile,casual,control,False,False
412,2024-08-25,paid,India,desktop,power,treatment,True,True
413,2024-06-06,organic,India,desktop,casual,treatment,False,False
414,2024-02-07,organic,US,mobile,power,control,True,False
415,2024-08-17,paid,US,mobile,power,treatment,True,False
416,2024-04-18,paid,US,mobile,casual,treatment,True,False
417,2024-02-20,paid,India,mobile,price_sensitive,treatment,False,False
418,2024-06-30,paid,US,desktop,power,control,False,False
419,2024-01-08,referral,US,desktop,power,control,False,False
420,2024-01-27,paid,India,desktop,casual,treatment,False,False
421,2024-01-27,paid,US,mobile,power,treatment,True,False
422,2024-08-13,paid,India,desktop,casual,treatment,True,False
423,2024-01-21,organic,UK,desktop,power,treatment,True,False
424,2024-01-30,organic,India,desktop,price_sensitive,control,False,False
425,2024-04-06,paid,US,desktop,price_sensitive,treatment,False,False
426,2024-01-28,organic,India,mobile,power,treatment,True,True
427,2024-04-20,paid,US,mobile,price_sensitive,treatment,False,False
428,2024-07-10,paid,US,mobile,price_sensitive,treatment,True,True
429,2024-08-12,referral,India,desktop,power,control,False,False
430,2024-07-15,referral,US,desktop,casual,treatment,False,False
431,2024-03-01,organic,India,mobile,power,treatment,False,False
432,2024-02-17,paid,India,mobile,price_sensitive,control,False,False
433,2024-05-26,organic,US,desktop,power,treatment,True,False
434,2024-01-04,organic,US,desktop,price_sensitive,control,False,False
435,2024-02-04,paid,US,desktop,power,control,True,False
436,2024-07-10,organic,US,desktop,power,control,False,False
437,2024-02-18,organic,UK,mobile,casual,control,False,False
438,2024-01-17,referral,US,desktop,price_sensitive,control,False,False
439,2024-06-20,referral,India,desktop,price_sensitive,control,False,False
440,2024-08-07,paid,UK,mobile,casual,treatment,True,False
441,2024-06-06,referral,India,desktop,casual,treatment,False,False
442,2024-08-08,paid,US,mobile,casual,control,False,False
443,2024-02-15,organic,India,mobile,price_sensitive,treatment,True,False
444,2024-04-26,paid,US,mobile,price_sensitive,control,True,True
445,2024-01-06,paid,India,mobile,price_sensitive,control,False,False
446,2024-04-08,organic,UK,desktop,casual,treatment,False,False
447,2024-05-03,referral,US,desktop,casual,treatment,False,False
448,2024-08-20,paid,US,desktop,power,control,False,False
449,2024-02-06,organic,India,mobile,price_sensitive,control,False,False
450,2024-01-24,organic,US,mobile,casual,treatment,True,False
451,2024-04-02,organic,UK,desktop,casual,treatment,False,False
452,2024-02-15,referral,UK,mobile,power,treatment,True,False
453,2024-06-29,paid,India,mobile,power,treatment,True,False
454,2024-04-04,paid,US,mobile,power,control,False,False
455,2024-04-08,paid,US,mobile,price_sensitive,control,False,False
456,2024-07-06,paid,US,mobile,casual,treatment,False,False
457,2024-08-12,paid,US,mobile,price_sensitive,treatment,False,False
458,2024-04-25,paid,US,desktop,price_sensitive,control,True,False
459,2024-07-09,referral,US,mobile,price_sensitive,treatment,True,False
460,2024-07-31,referral,India,desktop,casual,treatment,False,False
461,2024-06-08,referral,India,desktop,power,treatment,False,False
462,2024-08-02,paid,UK,mobile,price_sensitive,control,False,False
463,2024-06-09,referral,US,desktop,price_sensitive,treatment,False,False
464,2024-03-07,paid,US,desktop,price_sensitive,treatment,False,False
465,2024-05-07,referral,US,mobile,power,control,False,False
466,2024-01-18,referral,UK,desktop,power,treatment,False,False
467,2024-01-25,referral,US,desktop,power,treatment,False,False
468,2024-08-21,referral,UK,desktop,price_sensitive,treatment,False,False
